year,fullname,firstname,lastname,position,Height,weight,fortyyd,vertical,broad,bench,college,nflgrade,round,pick
2007,Brandon Jackson,Brandon,Jackson,RB,5'10,210,4.54,37,122,21,Nebraska,0,2,63
2007,Keith Jackson,Keith,Jackson,DT,6'1,305,5.05,30,N/A,33,Arkansas,0,7,248
2007,Tanard Jackson,Tanard,Jackson,FS,6'1,200,4.52,32.5,121,12,Syracuse,0,4,106
2007,Xzavie Jackson,Xzavie,Jackson,DE,6'3,278,4.92,33,110,18,,0,Undrafted,Undrafted
2007,Drisan James,Drisan,James,WR,6'1,193,4.52,39,126,14,,0,Undrafted,Undrafted
2007,Antonio Johnson,Antonio,Johnson,DT,6'3,310,5.15,29,108,28,Mississippi State,0,5,152
2007,Calvin Johnson,Calvin,Johnson,WR,6'5,239,4.35,42.5,139,N/A,Georgia Tech,0,1,2
2007,Charles Johnson,Charles,Johnson,DE,6'2,270,4.84,34,118,33,Georgia,0,7,216
2007,Chase Johnson,Chase,Johnson,OT,6'9,330,5.41,27,91,N/A,,0,Undrafted,Undrafted
2007,Michael Johnson,Michael,Johnson,SS,6'3,205,4.62,33,114,15,Arizona,0,3,70
2007,Rory Johnson,Rory,Johnson,OLB,6'1,232,4.59,38,116,19,,0,Undrafted,Undrafted
2007,Jacoby Jones,Jacoby,Jones,WR,6'3,210,4.5,34,129,N/A,Lane,0,3,73
2007,James Jones,James,Jones,WR,6'1,207,4.54,34,119,22,San Jose State,0,3,78
2007,Mike Jones,Mike,Jones,OG,6'5,309,5.46,25.5,98,28,,0,2,32
2007,Ryan Kalil,Ryan,Kalil,OC,6'3,299,4.96,26,104,34,USC,0,2,59
2007,Adam Koets,Adam,Koets,OT,6'5,298,5.08,32,106,20,Oregon State,0,6,189
2007,Kevin Kolb,Kevin,Kolb,QB,6'3,218,4.85,32.5,112,N/A,Houston,0,2,36
2007,Toby Korrodi,Toby,Korrodi,QB,6'4,234,5.37,25,91,N/A,,0,Undrafted,Undrafted
2007,LaRon Landry,LaRon,Landry,FS,6'1,213,4.35,37.5,123,N/A,LSU,0,1,6
2007,Zach Latimer,Zach,Latimer,ILB,6'2,237,4.78,34,109,19,,0,Undrafted,Undrafted
2007,Chris Leak,Chris,Leak,QB,6'1,209,4.74,32.5,113,N/A,,0,Undrafted,Undrafted
2007,Brian Leonard,Brian,Leonard,RB,6'2,226,4.52,34.5,122,28,Rutgers,0,2,52
2007,Reggie Lewis,Reggie,Lewis,CB,5'10,204,4.54,34,119,14,,0,Undrafted,Undrafted
2007,Enoka Lucas,Enoka,Lucas,OC,6'3,303,5.46,27.5,104,34,,0,Undrafted,Undrafted
2007,Marshawn Lynch,Marshawn,Lynch,RB,5'11,215,4.46,35.5,125,20,California,0,1,12
2007,Palauni Ma Sun,Palauni,Ma,OG,6'5,319,5.86,24.5,91,22,,0,Undrafted,Undrafted
2007,James Marten,James,Marten,OT,6'8,309,5.08,30.5,100,N/A,Boston College,0,3,67
2007,Ryan McBean,Ryan,McBean,DT,6'5,286,4.98,28,108,27,Oklahoma State,0,4,132
2007,Trumaine McBride,Trumaine,McBride,CB,5'9,185,4.57,34.5,122,14,Mississippi,0,7,221
2007,Turk McBride,Turk,McBride,DT,6'3,277,4.81,31,108,27,Tennessee,0,2,54
2007,Marcus McCauley,Marcus,McCauley,CB,6'1,203,4.39,36,129,17,Fresno State,0,3,72
2007,LeRon McClain,LeRon,McClain,FB,6'1,256,4.85,29.5,113,14,Alabama,0,Undrafted,Undrafted
2007,Marquay McDaniel,Marquay,McDaniel,WR,5'11,205,4.52,33.5,114,19,,0,Undrafted,Undrafted
2007,Brandon McDonald,Brandon,McDonald,CB,5'11,181,4.58,33,118,17,Memphis,0,5,140
2007,Robert Meachem,Robert,Meachem,WR,6'2,214,4.39,37.5,121,N/A,Tennessee,0,1,27
2007,Brandon Mebane,Brandon,Mebane,DT,6'1,309,5.15,24,106,24,California,0,3,85
